"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"LMAN2",1491.00046245941,-1.2566124435658,0.152214820688792,-8.2555196522879,1.51242735947599e-16,5.31240110015942e-15,"Yes","Downregulated"
"CXCL11",240.337647607386,1.94618006250568,0.297364997675693,6.54475166114941,5.95943311690051e-11,7.87619724169231e-10,"Yes","Upregulated"
"NPR1",362.798445144901,1.46013198457713,0.167089675075794,8.73861286710144,2.35990057394255e-18,1.1254199473384e-16,"Yes","Upregulated"
"CXCL8",486.47209104295,-1.739376901491,0.277130875359593,-6.27637356983074,3.46560943059503e-10,3.92919653940523e-09,"Yes","Downregulated"
"PLEKHA2",116.748007575853,-1.00579360309776,0.167107746484349,-6.0188329042661,1.7567910209516e-09,1.73541308803033e-08,"Yes","Downregulated"
"CLIC4",22.5197735951681,-1.45752695643643,0.242839504637186,-6.00201749964056,1.94880691087358e-09,1.90449214698266e-08,"Yes","Downregulated"
"CLIC3",914.098162236469,1.19255281711905,0.20461051740142,5.82840428861928,5.59598764157852e-09,4.96650701037083e-08,"Yes","Upregulated"
"DRD5",15.9637059412552,-1.10841488357226,0.236057803743152,-4.69552315575341,2.65925240033298e-06,1.34658289692492e-05,"Yes","Downregulated"
"ASPSCR1",898.614827795954,1.17985269645509,0.119833745237222,9.84574665608138,7.15062844432897e-23,7.91552900216174e-21,"Yes","Upregulated"
"GP9",30.854603882648,1.04534276707784,0.224057957170927,4.66550164197196,3.07865037248815e-06,1.53011017832642e-05,"Yes","Upregulated"
"TAS2R1",0.758381452966135,-1.68855391156108,0.705487338001794,-2.39345743092102,0.0166904179920565,0.0344075039080037,"Yes","Downregulated"
"TRIM56",40.1249927196197,-1.06296839958946,0.200658189973181,-5.29740849218032,1.17457734265805e-07,7.98127052219096e-07,"Yes","Downregulated"
"SYAP1",17.9488896305218,-1.4718490212305,0.346136095586149,-4.25222633524558,2.11655784093774e-05,8.70892745319393e-05,"Yes","Downregulated"
"KLF13",1291.99274842521,1.45395163390793,0.152752835089746,9.51832830502747,1.75987183496229e-21,1.44143762625947e-19,"Yes","Upregulated"
"IFFO2",21.9888740679237,-1.63597006072749,0.314592783526632,-5.20027841194583,1.98990227068435e-07,1.28656867164778e-06,"Yes","Downregulated"
"TMEM154",70.3504555236748,-1.3839581192502,0.270607525303688,-5.11426324045147,3.14967864851666e-07,1.96344302099511e-06,"Yes","Downregulated"
"SIK2",44.2062637511063,-1.48820679629878,0.23327340604586,-6.37966762489081,1.77472735820884e-10,2.1354015281742e-09,"Yes","Downregulated"
"PA2G4",725.900940487756,-1.35872087500334,0.192202204116224,-7.06922629348063,1.55799903955333e-12,2.71017642451824e-11,"Yes","Downregulated"
"SCAND1",2436.38388087464,1.0139598382733,0.110003087481714,9.21755799301411,3.03943198449804e-20,1.98979301780848e-18,"Yes","Upregulated"
"GLOD5",24.9111007529989,1.11643087138862,0.300971880167149,3.70941920145028,0.000207735236665359,0.000682057180962212,"Yes","Upregulated"
"ZBTB26",2.4827332430173,-1.0278201768263,0.457341475272396,-2.24738020144384,0.0246157392119601,0.0482981167492937,"Yes","Downregulated"
"MROH2B",4.06901550391535,-1.11068468099868,0.269924089772787,-4.11480383960399,3.87508814729069e-05,0.000150881443210967,"Yes","Downregulated"
"COL24A1",6.62740157211923,-1.22307699901868,0.263804372728818,-4.63630297848005,3.54695955934237e-06,1.73733484449956e-05,"Yes","Downregulated"
"SPSB1",230.67685337947,-1.9241037570581,0.356532766574796,-5.39670946808881,6.78741608450855e-08,4.84455470041222e-07,"Yes","Downregulated"
"LGALS4",52.8319141084292,1.20011648588092,0.167095671322565,7.18221170172741,6.85925966644386e-13,1.28233754153119e-11,"Yes","Upregulated"
"GATM",46.8260873636587,-1.04756995836725,0.18394672781579,-5.69496381265517,1.23398090882517e-08,1.02169815501776e-07,"Yes","Downregulated"
"CYP4F22",8.42011225715104,1.64131232584254,0.373254706756274,4.39729840276142,1.09606608579849e-05,4.80433094723047e-05,"Yes","Upregulated"
"MAL",223.609738027544,1.46899041962685,0.235798201192467,6.22986270547419,4.6684411975433e-10,5.15844394876759e-09,"Yes","Upregulated"
"ORMDL3",1044.00157993392,1.00161219706772,0.102281142277292,9.79273573570652,1.20977485557716e-22,1.27821783495603e-20,"Yes","Upregulated"
"BPGM",52.557251591781,-1.02740049818846,0.2264799020029,-4.53638706614815,5.72261106521565e-06,2.68227639420311e-05,"Yes","Downregulated"
"GNG12",4.12941204791629,-1.21937791327052,0.41619894379754,-2.92979578983191,0.00339184826849694,0.00839345733966895,"Yes","Downregulated"
"PPP1CA",2177.9473952641,1.07064878602856,0.0961930986090992,11.1302037413242,8.94308619363735e-29,3.71239703015423e-26,"Yes","Upregulated"
