"","study_1","study_2","study_3","study_4"
"PPFIA3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"STH",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CALML5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"RHPN1-AS1",1,0,0,0
"KRT8P41",1,0,0,0
"LINC01096",1,0,0,0
"YJEFN3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"YBX2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LINC00602",1,0,0,0
"POM121L4P",0.589094188963293,0,0,0.808064376476083
"ZFPM1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CYP21A1P",1,0,0,0
"PRR19",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"C1QTNF5",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"MFRP",0.53961814226692,0.487388851657797,0.686486975707545,0
"ADRA2C",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"OR13J1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"P2RX6",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"ALPP",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"HRC",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"WWC2-AS2",1,0,0,0
"ASPDH",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"MAST1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"TEDC2",0.53961814226692,0.487388851657797,0.686486975707545,0
"GOLGA8F",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"HES3",0.471404520791032,0,0.599707531057446,0.646628683999372
"FOXD2-AS1",1,0,0,0
"SSTR4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CXorf49B",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CCDC177",1,0,0,0
"SPPL2C",1,0,0,0
"FXYD4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"CERS1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"SSR4P1",0.589094188963293,0,0,0.808064376476083
"GDF1",0.589094188963293,0,0,0.808064376476083
"DNASE1L2",0.53961814226692,0.487388851657797,0.686486975707545,0
"CYP1A1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"FAM138D",0.589094188963293,0,0,0.808064376476083
"IL4I1",0.53961814226692,0.487388851657797,0.686486975707545,0
"RAB26",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LGALS4",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"DMRTC2",0.53961814226692,0.487388851657797,0.686486975707545,0
"HGC6.3",0.589094188963293,0,0,0.808064376476083
"EXTL1",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"HPD",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"KRTAP5-6",0.53961814226692,0.487388851657797,0.686486975707545,0
"GOLGA6EP",1,0,0,0
"H2AB3",1,0,0,0
"PRDM10-DT",1,0,0,0
"NPPA-AS1",1,0,0,0
"LINC00905",1,0,0,0
"CELSR3",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"C10orf62",0.53961814226692,0.487388851657797,0.686486975707545,0
"GNAO1-AS1",1,0,0,0
"PFN3",0.589094188963293,0,0,0.808064376476083
"LOC100129534",0.589094188963293,0,0,0.808064376476083
"SEBOX",0.53961814226692,0.487388851657797,0.686486975707545,0
"FNDC10",1,0,0,0
"H2AB1",1,0,0,0
"DBIL5P",1,0,0,0
"C15orf62",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"LOC101059915",1,0,0,0
