"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"MIR548I2",7.55338002185773,2.46309108179957,2.46309108179957,NA,NA,NA,2.12052597703405e-14,4.47204073447635e-13
"H4C9",7.55001520629509,2.42736429814474,2.42736429814474,NA,NA,NA,2.17603712826531e-14,4.58557977914062e-13
"LOC105372262",7.54480320299337,4.17896933040356,4.17896933040356,NA,NA,NA,2.26485497023532e-14,4.76907777936945e-13
"CCDC41",7.54040499734995,1.56959090945998,NA,NA,NA,1.56959090945998,2.34257058195908e-14,4.92893403170269e-13
"PAXBP1-AS1",7.53917470429369,3.56965559589353,3.56965559589353,NA,NA,NA,2.36477504245158e-14,4.96802241472094e-13
"102724055",7.53917470429369,3.98064329457036,3.98064329457036,NA,NA,NA,2.36477504245158e-14,4.96802241472094e-13
"LOC105371880",7.53674783046415,3.7144630907098,3.7144630907098,NA,NA,NA,2.40918396343659e-14,5.0535677395364e-13
"LOC100131257",7.52915365110218,3.52219458005809,3.52219458005809,NA,NA,NA,2.55351295663786e-14,5.32775989696071e-13
"LOC107987040",7.52305048107219,4.36552136486424,4.36552136486424,NA,NA,NA,2.67563748934663e-14,5.57407521069588e-13
"LOC143666",7.5209177317636,2.62320383763341,5.39147816144978,NA,NA,-0.145070486182953,5.44009282066327e-14,1.09501354020625e-12
"APC2",7.51994436186154,1.55172044005539,4.57487306221132,0.365506419618638,-0.28521816166379,NA,5.48450174164827e-14,1.10314188849085e-12
"OR8U3",7.51878147442834,3.83401219184224,3.83401219184224,NA,NA,NA,2.76445533131664e-14,5.7459980122473e-13
"RNR1",7.51618129951121,1.06217448216622,-1.06217448216622,NA,NA,NA,2.8199664825479e-14,5.84364461341904e-13
"LOC101927060",7.51464524304518,2.32904528721907,2.32904528721907,NA,NA,NA,2.85327317328665e-14,5.90819490417142e-13
"KRTAP21-3",7.50389180295415,4.26432764603269,4.26432764603269,NA,NA,NA,3.09752223870419e-14,6.38980585311003e-13
"LOC102724093",7.50249044807502,2.10331746108349,2.10331746108349,NA,NA,NA,3.13082892944294e-14,6.44395631270394e-13
"OR5B17",7.50110367340163,4.09392431138499,4.09392431138499,NA,NA,NA,3.1641356201817e-14,6.50273783307409e-13
"OR6W1P",7.50090867649915,2.53947003591196,5.44657239949523,NA,NA,-0.367632327671304,6.32827124036339e-14,1.26450029635124e-12
"OR5M10",7.49484929445708,2.20651096594825,4.20719518542775,NA,NA,0.205826746468759,3.31956684362922e-14,6.80685132344479e-13
"USP17L29",7.4771715561191,8.07981101009716,8.07981101009716,NA,NA,NA,3.79696274421804e-14,7.7567333615103e-13
"KCNQ1OT1",7.47602328548804,1.98897370172197,1.98897370172197,NA,NA,NA,3.83026943495679e-14,7.81894420049488e-13
"LOC107984578",7.47152629462922,5.3285592948267,5.3285592948267,NA,NA,NA,3.96349619791181e-14,8.07886743614539e-13
"LOC105372564",7.47079127202638,4.82756986940021,4.82756986940021,NA,NA,NA,3.98570065840431e-14,8.11808695442276e-13
"OR52E2",7.46861011371722,3.91891755490579,3.91891755490579,NA,NA,NA,4.05231403988182e-14,8.24763321861534e-13
"LOC105375520",7.46681923738002,3.82460515314439,3.82460515314439,NA,NA,NA,4.10782519111308e-14,8.35440765482872e-13
"KRTAP1-5",7.46267902480907,2.54971191384267,4.98221360371248,NA,NA,0.117210223972866,4.2410519540681e-14,8.61257363096335e-13
"LOC101927613",7.45201328480125,2.5074939128541,2.5074939128541,NA,NA,NA,4.59632332194815e-14,9.31333412757171e-13
"NCBP2AS2",7.44793425405432,1.38300400460727,1.38300400460727,NA,NA,NA,4.74065231514942e-14,9.59159307042233e-13
"OR4D5",7.44761111580575,2.89400640710557,5.48659758102201,NA,NA,0.301415233189139,4.75175454539567e-14,9.60696057351398e-13
