"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERH",0.157991891678993,11.5520766594433,1.61166420485793,0.109231705655259,0.23414866947611,-5.18847512181206
"MCF2L2",-0.198704821663346,7.82095883987448,-1.61162833192055,0.109240107891667,0.23414866947611,-5.18853163266764
"IFNAR1",-0.219536013345205,7.05693388955644,-1.61139368629369,0.109291254744263,0.234231400826922,-5.18889636561443
"SPIN2B",-0.375454436981087,8.82185702489616,-1.61127162801971,0.109317867945915,0.234250398389962,-5.18908607265042
"H6PD",0.0799964409566494,7.5690703565988,1.61123193731486,0.109325219414678,0.234250398389962,-5.18914610015555
"GPR35",-0.0561675925250881,8.37868633440804,-1.61044917657172,0.109496023909604,0.234589449755827,-5.19036234310785
"RBM12B",-0.180547280400851,9.44016964274937,-1.60998906339783,0.109597827442195,0.234780609343345,-5.19107864009674
"C14orf126",0.0788081047648578,14.8743637272882,1.60974116951557,0.109650700109019,0.234864535509132,-5.19146194426416
"PTGIR",0.0738083144854269,7.20020523903077,1.60968869373059,0.109662171281119,0.234864535509132,-5.19154342551703
"XLOC_005921",-0.105517576421416,8.19357893841088,-1.60944404331805,0.109715664351929,0.234952142626063,-5.19192327022421
"PHACTR1",0.278513028347687,7.27047996159678,1.60916656716309,0.109777663927947,0.235057943927399,-5.19235564957052
"FAM25A",-0.122374419044641,7.06668664389394,-1.60891011753064,0.109832480158029,0.23514834160927,-5.1927520512271
"PIK3C3",-0.213943303890577,8.01543861745185,-1.60860216730345,0.109901204651151,0.235268492351616,-5.1932315742269
"CD1E",0.0601771871524455,12.6771236497882,1.60840950570548,0.109942097515171,0.23532904244503,-5.19352888023914
"CDK9",0.0664864409663626,9.22704112844526,1.6079927315556,0.110033423828913,0.235478073433919,-5.19417543564519
"CFTR",-0.0373762123118862,9.24408500799637,-1.60793103645107,0.110046948014375,0.235478073433919,-5.19427113156257
"SNX12",0.0761899476100143,8.74287892464818,1.60791405852438,0.110050669978979,0.235478073433919,-5.19429746558011
"C6orf192",0.160379025636758,10.057966374872,1.60786541821906,0.110062186586526,0.235478073433919,-5.19437397050593
"LOC100129195",0.087990996833657,11.2559575343151,1.60757010294253,0.110126094853849,0.235554761300338,-5.19483090836905
"LOC730441",0.0769140278420258,11.2374780364424,1.60756255786676,0.110127749850869,0.235554761300338,-5.19484260883978
"LOC100652791",-0.136895174262402,10.2894601777102,-1.60752544485018,0.11013589080461,0.235554761300338,-5.19490016080686
"FERMT3",-0.0552890043831627,12.8811612983314,-1.60743275873117,0.110156224136365,0.2355712561303,-5.19504388560772
"UQCRFS1",0.0532636391398342,8.20940809423006,1.60736085084176,0.110172001237877,0.235577257490903,-5.19515538490508
"ANAPC4",0.148094635253513,10.5304303580419,1.60730644693785,0.110184273125936,0.235577257490903,-5.19524015395273
"OXCT1",-0.42476558346327,17.0707280219628,-1.60716003449889,0.110217375430213,0.235621041393303,-5.19546835818565
"LOC100131283",0.0735631752068443,10.3521194100914,1.60696652601106,0.11025855097798,0.235658163599363,-5.19576673362424
"TAS2R5",0.136593216115976,8.92856542931296,1.606952013705,0.110261775949615,0.235658163599363,-5.19578927811681
"XKRY2",0.0799033170531436,8.25882766694974,1.60690246275809,0.110272617244942,0.235658163599363,-5.19586604160999
"SLC44A2",0.0550749049681531,8.29462608163131,1.60655084690383,0.110349846489974,0.235796208899298,-5.19641103281501
"HSP90AA1",-0.12672118161072,8.46741194107045,-1.60584597705009,0.110504794800557,0.236100274147482,-5.19750320809507
"DGAT2",-0.160676156599569,9.95000313856146,-1.6053926466084,0.110605466223893,0.236288317164811,-5.19820652083899
"DEFB110",-0.118516106649708,10.4310446800759,-1.60515647065094,0.110656533788981,0.236337964711364,-5.19857113117765
"LOC400027",-0.0634496646006113,11.7785944309749,-1.60512018240253,0.110664524310976,0.236337964711364,-5.19862732299137
"MAP7D2",-0.154784551462452,9.05235191489044,-1.60511421128528,0.110666692289168,0.236337964711364,-5.19863761224411
"RNF149",0.0728943597854627,8.58132869500116,1.60458332030577,0.110782792922277,0.236538553625238,-5.19945850291401
"USP11",0.0771624758992529,6.47485296591599,1.60456892767417,0.110785964950004,0.236538553625238,-5.19948078216618
"KCNA2",0.0774537737702981,6.86865188269827,1.60431046464228,0.11084294059429,0.236633133500219,-5.19988084042483
"GJA5",-0.0698675904022228,7.49829697100368,-1.60346879307268,0.111028640884234,0.236996355754372,-5.20118317903831
"SLC10A5",-0.0743331399805365,11.6051857727453,-1.60342339172611,0.111038664957295,0.236996355754372,-5.20125341090477
"ZNF33A",-0.0802102454052282,9.83342269878828,-1.60336674852292,0.11105117210971,0.236996355754372,-5.20134103024122
"IL2RB",0.183044866970388,7.77374199070008,1.60320735501147,0.111087677651123,0.237047159409878,-5.20158914970365
"LOC100131023",0.257317064104554,10.5110621563388,1.60303211161569,0.111126389341144,0.237102658556523,-5.20186018075787
"ARHGAP12",0.0790692060019868,11.86099824182,1.60237292133482,0.111270797879067,0.237383637262862,-5.20287786037555
"LOC645752",-0.152637096205809,8.75466446658686,-1.60221188439535,0.111307203953238,0.23738991642223,-5.20312774047486
"BIRC5",-0.042647707731238,9.8147715823418,-1.60216188121288,0.111317480175467,0.23738991642223,-5.20320408943553
"LOC643401",0.0574956967274406,7.37940866239543,1.60214956651508,0.111320204681762,0.23738991642223,-5.20322312440536
"ZBTB9",0.157794428862177,8.95569241431349,1.60210972480366,0.111329946005257,0.23738991642223,-5.20328581794667
"NUDT21",0.0616782180276345,8.7163480275403,1.60204718564729,0.111342857505096,0.23738991642223,-5.20338137022804
"NLRP10",0.47544562493867,9.26427368001767,1.60195704389995,0.111364109939027,0.23738991642223,-5.20352225312116
"OR2M7",-0.109377924061772,10.4179606021035,-1.60195466981438,0.111363330749396,0.23738991642223,-5.20352435969432
"CEACAM19",0.0919897593656332,17.3467347592777,1.60189973572332,0.111375488781648,0.23738991642223,-5.20360926027438
"DGKI",0.0864295219611807,8.40769815507543,1.60170938503339,0.111417625451569,0.237452612360533,-5.20390342535348
"MPZ",-0.0662874263232028,11.9302850190734,-1.60123122135605,0.111523529449787,0.237651179036452,-5.20464222361935
"C18orf1",-0.115072139266319,10.9166145882595,-1.60112040583602,0.111548084394802,0.237676369318376,-5.20481341144553
"SHROOM4",-0.0512328239760808,6.27709714903642,-1.60066683796492,0.111648632706033,0.237863455023183,-5.20551396408897
"OR2A25",0.0989911160573413,7.40260668486617,1.60052144173252,0.11168087987682,0.237905001472362,-5.20573849353963
"ATP8B2",-0.265361920014177,12.9595833984503,-1.60029882641347,0.111731572462573,0.237985826773242,-5.20608377696873
"TTK",0.53312352725707,7.09633341668743,1.60017631193893,0.111758760084452,0.238016574278446,-5.20627292918275
"ALDH1L1",0.277155975180701,7.96294074646155,1.59993597758448,0.111812108853992,0.238103024730149,-5.20664394498846
"KAT2B",-0.0679931457669353,8.16496482619036,-1.59977524610092,0.111846494131642,0.238149077454608,-5.2068905034938
"NCOA7",-0.0985420783219864,7.13253518312615,-1.59934640568821,0.11194176158666,0.238324738224594,-5.20755233200569
"GTF3C3",-0.131758980143254,6.51024744058186,-1.59910267607069,0.111996788727274,0.238393571388902,-5.20792940634036
"CTNNA2",0.104436472770821,8.83911044115915,1.59904448782906,0.112008871819587,0.238393571388902,-5.20801817858977
"ZNF706",0.0503786090737229,6.45779050912429,1.59902857692868,0.112012409380159,0.238393571388902,-5.20804272608915
"ISYNA1",-0.0730389547672118,14.4564591365475,-1.59879212924298,0.112064990627739,0.238478286405969,-5.20840749223649
"C14orf118",0.135186621540601,11.897711892763,1.59869118519597,0.112087444560523,0.238498877419307,-5.20856320205202
"METTL11B",-0.0867701610189066,8.47750356013592,-1.59848787872228,0.112132678812135,0.238536084315058,-5.20887678081344
"TGIF1",0.0517749021638891,9.39287863905464,1.59846522677759,0.112137719610113,0.238536084315058,-5.20891171666476
"TRIB3",0.293081839731855,8.46623793127074,1.59844614807407,0.112143270284738,0.238536084315058,-5.20894266825842
"OR8K1",0.101949259356815,9.29060081255562,1.5982740868274,0.112180261686747,0.238587577983492,-5.2092064907522
"SCHIP1",-0.0806098953120589,8.6324987929114,-1.59802007588963,0.112236816879297,0.238677845877258,-5.20959817124187
"PRDM11",-0.127001083618246,10.8534670717267,-1.59796860670474,0.112248279191565,0.238677845877258,-5.20967752852476
"PRR4",0.0824594878089039,6.68474995595842,1.5974648265799,0.112360521499827,0.238889296479585,-5.21045414709771
"KCTD11",-0.0676514683907791,6.47498840658357,-1.59733844475744,0.112388693420158,0.238921977527021,-5.21064893804441
"LOC100130071",-0.0783366829978833,11.8461693568046,-1.59722740644951,0.112413449743693,0.23894739089694,-5.21082006793356
"TRMT5",-0.0677453888429608,8.04990897968895,-1.59639350696541,0.112599508991501,0.23931562688754,-5.21210488960444
"ARC",-0.100960988873922,12.2151929343128,-1.59626901395838,0.11262730684347,0.239347453288553,-5.21229664536346
"SLC1A1",0.08998159013868,8.02764659058454,1.59594927004462,0.112698727019756,0.239471964916181,-5.21278907872926
"SEC24A",0.0595711033867264,9.10134496410435,1.59588895011219,0.112712204533984,0.239473340651886,-5.21288196599287
"OR2Y1",0.0611502886516943,6.47626826989021,1.5950421196479,0.112901550670271,0.239799928145819,-5.21418565125415
"HEXDC",0.112076870566014,13.620447231993,1.59503662499069,0.112902780068792,0.239799928145819,-5.21419410803368
"CDK16",-0.0982385976299351,8.21416571122684,-1.59502911138335,0.112904461213258,0.239799928145819,-5.21420567211645
"RABGAP1L",-0.0796903567107984,6.92461140138089,-1.59488590687968,0.112936506552018,0.239840698008127,-5.21442606602472
"CTNNA1",0.145747169019422,8.08568472020395,1.59454157308151,0.113013906186036,0.239977765524729,-5.21495628458402
"DYNC1I1",-0.0833554914190009,12.3007357707757,-1.59444696725817,0.113034774627923,0.239994775159843,-5.21510148189065
"C1QL1",-0.546315563102478,10.0223536883624,-1.59430632777983,0.113067580059924,0.240037122590819,-5.21531933774886
"ZNF766",0.0866375661863352,8.07412948216575,1.59423290489445,0.113082722759737,0.240041967509439,-5.2154308041091
"ADCYAP1",-0.0710456366155664,7.77622556439358,-1.5934649522051,0.113254870845255,0.240380050526119,-5.21661190277425
"SOX7",0.127578048446828,9.17408110889335,1.59317451177383,0.113320031761272,0.240491005437651,-5.21705845237259
"NKX2-1",-0.0699509546127397,7.11146752719282,-1.59218626284623,0.113541971028827,0.240934616786386,-5.21857728837345
"AP2B1",0.270381481620236,9.47131057907823,1.59202374153418,0.113579808274654,0.240987509542618,-5.21882844261454
"HOMEZ",-0.162714124109791,9.6853322146369,-1.59190629250007,0.113606014272826,0.24101571452629,-5.21900864598858
"CLDN8",-0.0631537449703984,8.42179685801321,-1.59154322418381,0.11368656925664,0.241149739308826,-5.21956508391137
"XLOC_007894",-0.128746865441641,6.50384798634118,-1.59136103543241,0.113728394644967,0.241149739308826,-5.21984580735188
"SSR3",0.0911013782740621,9.33135082796022,1.59133964905747,0.113732377129598,0.241149739308826,-5.21987772300975
"METTL21B",0.0949544116170765,8.6118897736779,1.59133777292795,0.113732799359007,0.241149739308826,-5.21988060408336
"LLPH",-0.15778143530651,13.0965316829041,-1.59133473665404,0.113733788113345,0.241149739308826,-5.21988560739695
"LOC100128822",0.0906522684592362,10.4632799718321,1.5911256853504,0.113780538440161,0.241212835738084,-5.22020627472478
"C3orf17",0.0857563660035375,8.77762546609778,1.59108635590661,0.113789392910465,0.241212835738084,-5.22026666236929
"BATF2",0.0726175393497338,7.12729107609863,1.59084235581792,0.113844338347035,0.241301904979264,-5.22064127548044
"LOC401180",-0.0676967293614578,6.56858634988053,-1.59049783477688,0.113921955653355,0.241439003323479,-5.22117012395755
"UBR3",-0.526396202994635,7.96500154792033,-1.58873113235388,0.114321944207831,0.242259206248769,-5.22388175115772
"LOC145474",-0.171845565219019,6.57608816166171,-1.58832695427676,0.114413308885654,0.242425293489696,-5.22450136520406
"OSTN",-0.105596544735738,8.99233111652862,-1.58817901311115,0.114445459951658,0.242459519645952,-5.22472669933929
"KPNA7",-0.0436075680639497,10.3066862174062,-1.58813487980718,0.114455442143074,0.242459519645952,-5.22479434182903
"MGAT1",0.0756669209012785,12.2188751683046,1.58799502014965,0.114487080556936,0.24247821431655,-5.22500869076674
"BLID",0.100993163847108,9.79695643278558,1.5879188440559,0.114504315690792,0.24247821431655,-5.2251254306024
"NDUFV1",0.0447344755787531,6.47379817382343,1.58787262498644,0.114514773938487,0.24247821431655,-5.22519625867619
"FAM123B",-0.0743195356943405,9.13434633695325,-1.58784375657352,0.114521306541329,0.24247821431655,-5.22524049685472
"ACP6",0.0524251875201567,12.5683933902166,1.58780877681752,0.114529222470651,0.24247821431655,-5.22529409906292
"BEST4",0.168671829321026,8.63114774223429,1.58768536271307,0.114558259954269,0.242502034159852,-5.22548440928912
"SLC14A1",0.0836404760422828,8.98462490420589,1.58764426257923,0.114566457927756,0.242502034159852,-5.225546181784
"EIF3K",0.0904555974959469,12.412173880119,1.58732007195211,0.114639862038212,0.242629892838556,-5.2260428605135
"SNX17",0.163491604065065,8.16576676299069,1.58726206971173,0.114654009605105,0.242632018496384,-5.2261328089444
"FLJ45340",-0.0624722100096365,9.42980547336432,-1.58714623835876,0.11467923730503,0.242632018496384,-5.2263091433007
"DCHS2",0.06093291549581,9.57157629439078,1.58714347068688,0.114679864300836,0.242632018496384,-5.22631338266443
"FLJ44054",0.0645316341698103,9.45948774184056,1.5870517362612,0.11470064760587,0.242648485499667,-5.22645389224992
"FAM55A",0.0546860314879929,6.28074051945832,1.58654881674276,0.114814642015091,0.242842939894959,-5.22722407467342
"SOS1",-0.0767046476981354,9.61374425303688,-1.58650923339654,0.114823618008638,0.242842939894959,-5.22728468351645
"GLE1",-0.0702362785472213,11.5727820779754,-1.5864740418368,0.114831598580922,0.242842939894959,-5.22733856656158
"LOC145945",-0.262651793536657,12.0374348438939,-1.58623507966936,0.114887106676764,0.242932802324889,-5.22770582545562
"PTK2",-0.0956954640227156,11.5502494440323,-1.58596693780974,0.114946646151757,0.243031167922808,-5.22811488350261
"PCDHA12",-0.0658509827792029,7.26672141079554,-1.58578479865148,0.114987990736086,0.243091046221434,-5.22839365880437
"RBM15",0.0687385205442592,9.37083638419061,1.5857252734441,0.115001505192335,0.2430920831727,-5.22848475913698
"ARL6",-0.0832761795012152,10.6005729618285,-1.58554317593658,0.115042856000051,0.243151954166115,-5.22876342971974
"EPB41L2",-0.227394210875225,6.53619705924541,-1.58539830458459,0.11507706770123,0.243170790010841,-5.22898650746379
"HTRA1",0.0521228207810168,9.27911082524609,1.58538819100903,0.115078059376049,0.243170790010841,-5.22900058459247
"GTPBP2",0.141567966026519,11.0925467500037,1.58533187856305,0.115090852341589,0.243170790010841,-5.22908674724482
"LOC100130987",0.0979614279360444,8.27498636394867,1.58509310090358,0.115145110001699,0.243232885607118,-5.22945206380787
"E2F2",0.114690596917424,7.21509543640701,1.58508784426972,0.115146304699946,0.243232885607118,-5.22946010556864
"ALG8",-0.232453621363609,9.7005092376906,-1.58484359405003,0.115203133203999,0.243325391111535,-5.22983513110639
"ABTB1",-0.0689206696578669,6.84305712214877,-1.58473648850678,0.115226181204275,0.243346534530188,-5.22999756212775
"EXOSC6",0.162495520463592,7.37104558490244,1.58457514514221,0.115263980933332,0.2433988238625,-5.23024550145939
"LEMD1",0.074473462747985,10.1709548595606,1.58424453747374,0.115338094333862,0.243519091674875,-5.23074988917896
"CENPI",-0.108780175527865,6.99460309302979,-1.58420528015555,0.115347028636355,0.243519091674875,-5.23080991459615
"OSBPL7",-0.337839062551723,9.25650789031439,-1.58401051732052,0.115392667364,0.243587891466756,-5.23110907489039
"LOC284412",-0.176432630155529,8.09917619487606,-1.58358785647991,0.115488890056853,0.243760865313546,-5.23175512835166
"KRT18P55",-0.0806610431638385,10.9428768514967,-1.58353030217159,0.115500728252505,0.243760865313546,-5.23184174828367
"TMEM218",0.0869299627892761,11.5242201302701,1.58317297051065,0.115582162293778,0.243905150843796,-5.23238782671261
"IRAK1",-0.165016921705371,8.82117763110838,-1.58305867510164,0.115609324826397,0.243919667851638,-5.23256363331425
"LOC340094",0.0695755783842268,12.1568468423373,1.58302815397672,0.115615178220383,0.243919667851638,-5.23260910317625
"GALNT5",-0.0680638359588596,9.27342343686122,-1.58269729754489,0.115690636473739,0.244051280490771,-5.23311457121257
"TRIM22",-0.0945413279748803,9.48263448200052,-1.58249497486541,0.115736799374477,0.244121071344176,-5.23342362075424
"PPP1R12A",0.0442735738487766,7.67294382862238,1.58232881698334,0.115774721684969,0.244173466694908,-5.23367739976382
"LY75",-0.164262244526127,11.8011716390634,-1.58221858897599,0.115800715371889,0.24420069510974,-5.23384661048731
"KCNC2",-0.0565286435288825,9.2249246352124,-1.58212394883054,0.115821492449041,0.244216917822115,-5.23399026699094
"PCDHA2",0.0580209699104331,12.9429121640732,1.58191068729403,0.115870195337509,0.244292013551859,-5.2343159107671
"COL6A3",0.167740250887188,7.00313066161391,1.58180115359943,0.11589652202292,0.244311037924057,-5.23448451178124
"RPL36A-HNRNPH2",-0.0819974577050174,9.25342129386428,-1.58175658825246,0.115905397311413,0.244311037924057,-5.23455118888072
"RAB2B",-0.107973700302527,8.34806480437162,-1.58164819140869,0.115930164285504,0.244334052212917,-5.23471667571876
"KLK5",0.0868582575466627,11.5792054511509,1.58159422348011,0.115942496675586,0.244334052212917,-5.2347990631688
"SVEP1",-0.0687816074622874,10.6799878802162,-1.58144539417597,0.115976511551234,0.244378142707584,-5.23502625195791
"STOML3",0.0656503671527925,9.93082492146422,1.5813142448389,0.116006492246134,0.244413723645342,-5.23522643507642
"TMEM159",0.373562273667948,10.8718542657896,1.5812437610444,0.116023913359972,0.24442283779502,-5.2353353707244
"LOC440104",-0.0879291706245711,6.92215602327355,-1.58068421018638,0.116150603770341,0.244631607139246,-5.23618788112613
"LOC541467",-0.0694579738289048,9.81367610316185,-1.58065546737507,0.116157181671275,0.244631607139246,-5.23623173443909
"ATAD3B",0.105979855023775,8.23238192565656,1.580632961681,0.116162332390846,0.244631607139246,-5.23626607115707
