"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"MAGEL2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC27A5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RECQL4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SBF1P1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDC27P10",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"OLIG1",9.02718016776988,0,0
"DKFZP434A062",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"INS",4.6853022368347,1.39773553609057e-06,2.33366815038396e-06
"25787",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXD4L5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"STX1B",2.63588258759659,0.00839187633666238,0.0103262118143902
"PTPRH",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC102724621",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CDC27P9",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HPDL",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CYP21A2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"COX6B2",2.04520396190392,0.0408347540643339,0.0475130206936531
"LY6G6E",6.57261702488208,2.47192266655816e-11,5.60697362297616e-11
"AQP12A",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"H1-9P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TMEM52",3.92502686369908,8.67200597738371e-05,0.000126550310954037
"CDC27P11",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC00696",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RPH3AL-AS1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRT17P5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SMIM32",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ZNRF4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FLJ16779",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC102724562",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FZD10",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC02992",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CYP11B2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"FOXE3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AQP10",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ACTN3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GPR179",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC102724728",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"POM121L1P",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MYO7B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PROB1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SMCR5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP12-4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
