"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"POU3F1",3.44363334070673,1.39609816097842,4.96646823002675,0.577000501486693,0.0188684976281738,0.0220554147720534,0.000286976747599144,0.00105370969045417
"GOLGA6D",3.44183551177693,1.888615500796,7.35825635866126,-0.839037967757996,-0.85337188851525,NA,0.000577781466627458,0.00197903516857455
"LY6G6E",3.43689263835913,1.59324712108537,6.237011289282,-0.931117717599102,1.01239973600157,0.0546951766570024,0.000588428796618246,0.00201047728652492
"FOXD4L5",3.43581699112864,1.6719124392134,5.36771754876615,-0.0978830351092277,-0.254097196016716,NA,0.000590769894023957,0.0020177211378614
"CAPN11",3.42824480545401,1.24364464098847,6.38496094829454,-1.11152267886003,-0.510306052483535,0.211446347002921,0.000607497382596467,0.00207006294292548
"ZG16",3.42439654272468,1.03430885272996,5.22658573356609,-1.04048211907518,-0.108645499690638,0.0597772961195639,0.000616166401978591,0.0020960981723834
"UMOD",3.41443751655691,1.45956437446188,3.78164492046319,NA,0.494474009384333,0.102574193538107,0.000319569257400509,0.00116201218562343
"KRTAP12-4",3.4073374007401,2.77927006815918,6.93839353194534,0.469209270608975,0.930207401923217,NA,0.000327999904671028,0.00118825143989193
"NTN3",3.40328170951328,1.35110934002382,4.62418745127974,-0.0223522122022549,-0.548507219006013,NA,0.00066581592746684,0.00224575564306255
"KRTAP7-1",3.40134861309016,1.78858168324895,4.56753216455595,2.21475749211535,0.323450858758729,0.0485862175657652,0.000335271283344762,0.00121170934132319
"RFPL3",3.40075339176602,1.36952392787535,6.63106713104271,-1.14167911837343,-0.130056865080714,0.118764563912826,0.000672004219931299,0.00226272807337979
"TH",3.39180678280015,2.12792822655762,6.38409900416913,1.42142294897271,0.735253485597406,-0.0290625325087456,0.000694333848196393,0.00232904074584795
"IL27",3.39152535453767,1.24011325256413,4.10584894744775,0.693238360066983,0.3544925863728,-0.193126883631025,0.000695047319470232,0.00233086317993475
"FGF16",3.38572242166752,1.61317086950635,6.44703559504031,0.226047788762781,-0.254648834174565,0.0342489283968757,0.000709911527298823,0.00237605696888836
"FOXB1",3.3836808024439,1.53289908339262,4.64721179687904,0.549464895519814,0.89785723979656,0.0370624013750474,0.000357605497736668,0.00128463186604983
"ABHD1",3.37162835618397,1.13197833722736,4.18580453761232,0.162916298623276,0.187416056138258,-0.00822354346441186,0.000747252091936934,0.00248826681154884
"HSPB9",3.36267458118049,1.23888312843427,4.76140454870816,-0.098973657731794,0.295763160427442,-0.00266153766671281,0.000771912996616608,0.00256318959202239
"ACTL6B",3.3428268818699,1.20709207722822,4.63140005786933,0.325078010246188,-0.115791904416225,-0.0123178547864092,0.000829296184860828,0.0027319106522682
"VCX3B",3.34040407525568,1.28090932146522,5.14329352127249,-1.07943752245931,-0.221128034417521,NA,0.000836565746814122,0.00275387150131854
"KRT34",3.33848103217401,1.55634929234678,6.86907243153524,-0.415288909007911,-0.175222788113791,-0.0531635650264236,0.000842377812663386,0.00277167189261512
"OR2T6",3.33009617376002,1.20187673600103,5.23451117076834,-0.203733870828929,-0.0958397611706049,-0.127430594764698,0.00086815992238809,0.00284658780057711
"KRT33B",3.32781401840348,1.98843390773084,7.44777497453956,-0.209933505892544,0.644127840512433,0.0717663217639065,0.00087530279788961,0.00286760585364576
"AQP12A",3.3081761950208,1.81843530893723,7.31987799049892,0.469213151624578,-0.567911020413525,0.0525611140389575,0.000939057086622119,0.00305346811727157
"IL36RN",3.30379245099545,1.62344011604376,7.4062747231234,-1.29137221758987,0.335892991208051,0.0429649674334569,0.000953864217260625,0.00309830569502666
"AP002748.4",3.30364165207599,1.12206447865802,NA,1.35085441277435,0.893274544541698,NA,0.000477188701552111,0.00166614637764722
"UBQLN3",3.29510682682958,1.23754851668304,4.40237397732428,-0.378409446825951,0.883923384929514,0.0423061513043301,0.000983842712718674,0.00318548293522374
"ACTRT2",3.29435799627039,2.07877828252347,7.44673209324838,-0.0856646304030838,1.03799549278662,-0.08394982553803,0.000986467738666841,0.0031917188733646
