"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"SEZ6L",1.2651884196499,0.205803792690784,0.333234523362138
"MTMR14",-1.00722338689244,0.313827436817078,0.471162527078635
"SKINT1L",1.46782960120749,0.0710752573165474,0.136056646928015
"ULK4P2",1.46724069966549,0.0711552944570298,0.136193064017514
"RNF125",-1.78506832851253,0.0742502344365423,0.141138299499658
"SYT11",1.46682668610339,0.0712116041270386,0.136260522110793
"STX3",1.86906665664741,0.0616135412532273,0.120263837736527
"LINC00261",0.969972665806328,0.166030058590764,0.27913712776799
"TMEM70",-4.08200005754581,4.46497857722328e-05,0.000196116864074125
"GPR87",-0.085455556162562,0.931899227213573,1
"ARFGEF1",1.30810095292611,0.0954195351495785,0.174932621657144
"LOC100289495",1.46520778920648,0.0714321175548628,0.136615670232859
"FAM219A",1.48063507745201,0.0693519213987154,0.133223188185808
"LOC102723638",1.46454670168482,0.0715223162584753,0.136749989803247
"LOC105378651",1.4639031494971,0.0716102063693165,0.136879821622064
"PSD3",2.16495112357024,0.0151957142425087,0.0356990473950368
"APOL6",1.23944445245483,0.107590473918088,0.193566758585803
"CST4",0.486604133116295,0.62653889400911,0.810656638236413
"RAB3D",0.823066392643846,0.205235119492753,0.332588944010882
"GAL3ST1",1.31649996452444,0.188006290317998,0.309353854481444
"ST8SIA6",0.959541546880562,0.337285999974176,0.499461608079074
"LAMC3",-6.6151188184952,3.71254138542554e-11,5.02495411332671e-10
"HIRA",2.57277091925557,0.0100887960667284,0.0249397733484953
"CA5BP1",0.931237492212773,0.351730727886329,0.516602149391271
"MAPK10",4.58209537900426,2.30169915571565e-06,1.32524271481358e-05
"KBTBD4",1.50932045114351,0.131216910854568,0.228905965418561
"UCA1",0.0813300897670096,0.467589722536365,0.647441013337565
"SLC17A2",0.348269743361451,0.727637614469062,0.908894967153259
"NRBP2",-0.0898983987546582,0.928367953610058,1
"TTC12",2.40072570837619,0.0081812981725583,0.0207996767159588
"MAD2L1BP",3.37766061858865,0.000365526225315715,0.00131016498005025
"SHARPIN",5.71533584463541,1.09487570121303e-08,9.82447423345263e-08
"SYPL1",-0.505018560625726,0.613545799728201,0.798521886244195
"PIPOX",3.2709534107733,0.00107185566931944,0.00344116794339695
"RAB11B-AS1",1.45711726869436,0.072542006169927,0.138419465001404
"MYCN",0.733809680957204,0.463064739491104,0.642761282749132
"NOCT",5.427086757995,2.8640644633704e-08,2.38121535581281e-07
"FAM50B",0.10440733494867,0.916846102050279,1
"MICAL3",-6.04913110734696,1.45629108772027e-09,1.51175044896161e-08
"WFS1",-0.875686748944821,0.381200351014991,0.551022774169253
"DTD2",2.58424639175647,0.00975920476463576,0.0242343559216096
"B3GALT9",1.45539796499889,0.0727795597364129,0.13874188619385
"JUND",3.9017611960701,4.77476717897218e-05,0.00020822150090408
"HIPK1",3.14841422551191,0.00164158892024791,0.00503316490992629
"ATP2C2-AS1",1.45484298892202,0.0728563669596244,0.138874211860486
"SIRPD",1.33393734975058,0.0911121948346506,0.168093378510018
"CCT7",-6.0785599389799,1.21266663377639e-09,1.27283534223388e-08
"CCL11",-0.282905601253994,0.777249200739193,0.955454177064363
"TRIM41",2.06432391970521,0.0389870145659974,0.0810540535808984
"TAF4B",-2.60750385297024,0.0091205044060807,0.0228659484034576
"PCDHA12",-0.40465291620193,0.685732656110007,0.870592553254873
"DUSP13B",1.45337204592537,0.0730602417840139,0.13919502911698
"TMEM199",2.29448004223237,0.0217629401548356,0.0488965591357107
"WNT10B",1.89088401891027,0.0586398281934681,0.115322189042359
"ESPNP",1.45212040860891,0.0732340640930903,0.139497092603964
"LOC105373942",1.45142642784906,0.0733305775739526,0.139593577419111
"GRINA",1.40115113074738,0.161168884381415,0.27227562824549
"SORCS2",-0.35681584484782,0.721229673587233,0.902772864293259
"MAP3K20",3.7071361510687,0.000104808131423328,0.000424171777270215
"EDNRA",0.586475298959159,0.55755615600772,0.742333344373614
"ALG10B",0.398876422938189,0.689984262362857,0.874733623371302
"NPIPA1",-1.70661003701217,0.087894558358437,0.162892127332525
"JPH2",-0.804022423285814,0.421384025064013,0.596702954958578
"PPIE",-1.63393993618089,0.102271463083584,0.185478031652955
"ARHGAP11A",-1.52930941967157,0.126187755546455,0.221412512854361
"GABRA2",-0.434130918538189,0.664193374469691,0.849022060549429
"GUCA1C",-0.155889108612112,0.561939784789821,0.746718102654111
"MUC5B",2.86248509803058,0.00210166513053045,0.00626838500281782
"ALDH1B1",4.14871938650107,1.67170170308761e-05,8.07124923441755e-05
"CD34",2.40374065283324,0.0162282817176393,0.0377942512670858
"FGD2",1.77448899420604,0.0759823009611271,0.144008511089733
"CSMD1",-2.03967313275494,0.0413828926232678,0.0853164015212538
"POLR2F",6.88567203434377,2.87581070068654e-12,4.60449059879064e-11
"FLYWCH1",0.0612267861873471,0.951178597453495,1
"105373302",1.44611598640954,0.0740723362806699,0.140819684414223
"DHRS1",4.45300276412036,8.46776640539559e-06,4.36616714993059e-05
"ARHGDIA",2.98894109546839,0.00279946096099493,0.00809747999434653
"BEX5",-0.147756598176633,0.882534862911775,1
"SMARCC2",4.91367541199153,8.93846868743609e-07,5.57408034810634e-06
"SEC23B",-0.131074121558743,0.895716672526023,1
"CCDC115",-4.40763262780792,1.04506607694344e-05,5.28318604500192e-05
"GPR35",-4.12221011094767,3.75254687849935e-05,0.000167592144989387
"SLC9A3",-1.56858195572031,0.116745379663749,0.207543132763687
"AOAH",2.00552459053497,0.0449069945632847,0.0916165561558821
"PRKACB",-5.33597963551956,9.50300678148608e-08,7.14028718537606e-07
"YPEL3",2.53278520670011,0.0113160270381738,0.0275802989956202
"USP20",3.63044383715138,0.000282934267459067,0.00104040057141492
"ANAPC15",6.40185823261986,1.53497214938625e-10,1.89930271149215e-09
"TFF1",1.44067982143496,0.0748375790810769,0.142106846809877
"CRACR2B",-0.643922122169278,0.519625935695885,0.702380841189558
"SPRR2D",-0.0937975062502767,0.925270012676818,1
"SORL1",5.0822636064362,3.72963324890563e-07,2.49873570197529e-06
"SLC5A5",-1.43741511453247,0.150600076623302,0.256876228073927
"102724143",1.4392455067124,0.0750404881192341,0.142452648605531
"PIWIL2",0.0107291241396992,0.991439561736176,1
"ERI2",-3.51287437034814,0.000443287021794081,0.00155708631938494
"PLEKHG1",-2.6989060520859,0.00695678122610466,0.0180442808054481
"EXOC6B",-3.11976064046013,0.00180998052670756,0.00549290091161554
"TSFM",0.905363752412816,0.182636356081306,0.302096544792137
"ANKS1B",-0.982286129043188,0.325958906127382,0.485940587361755
"SMARCB1",0.0928969569312108,0.925985423311935,1
"DLC1",-2.21618499624891,0.0266788350036327,0.0584599811969698
"NRK",4.49629799546004,3.45734049123081e-06,1.92507810482252e-05
"USP49",3.16085253645135,0.00157308115856569,0.00484698665379678
"ODAPH",0.314635309889637,0.753038566357589,0.933418918843769
"MYOM2",-1.5836488613449,0.11327364819142,0.202277008813242
"TRPM2",0.0591695404929899,0.952817070286814,1
"MRPL20-AS1",1.43246392730361,0.0760055472954861,0.144024429419484
"KRTAP6-1",1.43242710120455,0.0760108135437175,0.144024429419484
"LOC105372460",1.43236015336719,0.0760203880070489,0.144024429419484
"SINHCAF",-1.64882162570925,0.0991841831818971,0.180781816252034
"IGFBP2",-3.01685347512684,0.00255413238963009,0.00746271937008494
"EHD1",2.77314181631823,0.00277589602132755,0.00803695534815771
"NOVA1",-3.92084922802316,8.82374598485391e-05,0.000363717305529752
"FLRT2",-2.36274169898485,0.0181403081931577,0.0417292587918008
"LOC102723656",1.43139980751423,0.0761578317719682,0.144273826249434
"LOC644554",2.8008083221236,0.00509747866319943,0.0137568148929513
"FLT1",3.06354330364702,0.00218732545661049,0.00649206726802214
"SSTR2",-0.910307522540435,0.362660352443525,0.52944739436133
"ASMTL-AS1",-0.962839771830912,0.335627938222061,0.49767401177772
"TTC24",0.081899178320855,0.93472688785083,1
"ZNF444",1.57358225037864,0.11558405938165,0.20590756859549
"SPDEF",0.283998263249633,0.776411711597564,0.954830258539022
"NAA80",4.70024221748021,1.29926544878423e-06,7.87987092526984e-06
"PCOLCE2",0.0169878102085635,0.986446340414586,1
"LOC105377382",1.42875148140368,0.0765378376270762,0.144873492834502
"PMS2P7",1.42878555335513,0.0765329395326534,0.144873492834502
"COG4",6.24020861538515,2.18493889647675e-10,2.63568476745841e-09
"FAM151B",4.80697213229999,7.66166703192184e-07,4.84290189984999e-06
"GSTA1",1.25729041266387,0.104324247175759,0.18861950576689
"TOP1",2.31330184174132,0.010353024754805,0.0255077896535555
"USP11",1.97836431007665,0.0478876229481515,0.0967606896787587
"SPPL2A",1.47829212814629,0.139329603757375,0.24089204764489
"TMED7-TICAM2",-3.73102414960778,0.000190702940009002,0.000727992881505607
"ASRGL1",1.12400069297976,0.261012731962385,0.404528388329348
"SLC9C1",0.0737052677805823,0.941244907110033,1
"CIMAP1A",1.42627352392479,0.0768947019502004,0.145448481663035
"PNPO",-6.40510373291561,1.5026713207078e-10,1.86185802038853e-09
"LOC105377033",1.4255885207225,0.0769935758560393,0.145585243689688
"CDCA7L",-0.909406524671085,0.363135578991136,0.529919913973205
"ZNF827",-4.6315119299973,3.63005076908784e-06,2.01387688981696e-05
"PIK3CA",-5.50356202444756,3.72193502684581e-08,3.02559080298045e-07
"LINC00862",1.42481489188377,0.0771053582156156,0.145756368225006
"DEPDC1B",2.08422265421113,0.0371399190101735,0.0777033817995803
"ZBTB45",3.24970757446047,0.000577618669897251,0.00197897241893887
"SAA2-SAA4",3.17702436851045,0.000743972664971171,0.00247915474478594
"NOVA2",2.04425855394946,0.040928011364314,0.0845249054900401
"UBE2E3",-1.32288208348016,0.185874594389563,0.30636150131172
"CCL16",-1.72233347661122,0.085009126759775,0.158287953795385
"RASA4B",0.471127816354761,0.637549462128391,0.821875088937334
"CFAP298-TCP10L",1.42376788875039,0.0772568370237857,0.146012490532364
"YBX1",0.290308172560597,0.771580487151234,0.950296607719645
"CETN3",3.112543438501,0.00185482715470253,0.00561097503346686
"POC5",-0.200439490580214,0.841136877077621,1
"C3",7.02052315912231,1.10522702101434e-12,1.86324272250387e-11
"ADARB2",-0.283558575241994,0.776748686665822,0.955030307042332
"ARHGAP26",2.16195246593111,0.0306218402996052,0.065841402951706
"CDHR4",-1.55286206424847,0.12045609146426,0.213033868667748
"TMED7",1.10641539708189,0.268546764197036,0.413980001416791
"GRTP1",-0.632348370741944,0.527159262633061,0.710565243054159
"ZNF81",1.70681609192023,0.0439281202400275,0.0898671386734039
"MYO5C",0.206343600051424,0.836522523336845,1
"PPP1R1A",-0.416613050190559,0.676961462310177,0.861955696652408
"RAB40B",0.245467452885465,0.806094506212602,0.981832997685483
"UCKL1",6.52920029907254,6.61217747222054e-11,8.6463294439848e-10
"LOC112268445",1.41969157197681,0.0778487464156574,0.146989207254596
"B3GAT1-DT",1.41969163933549,0.0778487366063567,0.146989207254596
"TBC1D3F",1.69828604638027,0.08945378700809,0.165440630463065
"SLC46A2",0.791977963790169,0.428373525315156,0.604693807698701
"PGF",0.580260188700486,0.561739170214964,0.746560159512877
"DIP2C",-0.563487198692552,0.573103174635665,0.757985876944143
"KPNA7",0.794785270700995,0.426738420418194,0.602913822968356
"CHD6",-0.8482213061237,0.396314733683498,0.568253016291187
"ZNF200",0.158080825804848,0.874393109417463,1
"TLCD5",1.41845890650735,0.0780284140046406,0.147267544034249
"SNX33",3.50629514211811,0.000227195532003899,0.000851206455039224
"PLA2G5",1.74557570105185,0.0808847076167163,0.151759233282648
"COL9A1",2.83145540776656,0.00231683470847233,0.00684161763917208
"KIAA1328",4.02559621985318,2.84155678359488e-05,0.000130218213594148
"PLN",3.20341278268063,0.000679045845653481,0.00228219137147987
"CYP4F2",1.00295841680636,0.315880925127133,0.473752214160615
"PABIR2",1.41670241838703,0.0782849748467567,0.147670377052048
"SLC26A10P",1.41658707492532,0.0783018448079972,0.147692029641633
"PRAMEF7",-1.35873206335974,0.174231507949853,0.290668787545596
"ANAPC5",-2.60422905360505,0.0092081194863487,0.023058174892918
"NME1-NME2",2.49436037932928,0.00630921791514927,0.0165794747995697
"ZNF30",-2.74613233092335,0.00603024348484182,0.0159288902002933
"PPP1R10",-3.05663520904968,0.00223836503013186,0.00662919027032025
"SYT6",1.80902807628221,0.0352233208140794,0.0742671387919089
"LINC01801",1.41548936000965,0.0784625329289416,0.147964554938277
"LINC00885",1.41494082639932,0.078542923199346,0.148105959598436
"DHX30",-4.78713673055469,1.69177580500168e-06,1.00164681603676e-05
"NPTXR",1.15633352109032,0.123772381070006,0.217858158533335
"SLC45A4",0.151609659224696,0.879494814522149,1
"PTDSS1",-1.7765955354672,0.0756348107319906,0.143402009827869
"SAMD12",3.09794785954154,0.000974328549448344,0.00315768497606707
"IL7R",2.59165363401689,0.00955158828655289,0.0238007787074874
"KIF13B",-4.96708095499537,6.79682195858788e-07,4.33433623467336e-06
"C1D",2.55253826272718,0.0106941162598342,0.0262466686022359
"POR",6.90241101690833,5.11279907300377e-12,7.87325073664633e-11
"RAB3GAP1",1.07630793208388,0.281789562347471,0.430710542906264
"VEPH1",-0.661926260464471,0.50801848102276,0.690070128258572
"ZNF807P",1.41289823226857,0.0788428244735453,0.148579430174917
"ANAPC1P1",1.41272462651453,0.0788683538638043,0.148582421020617
"LOC105372622",1.41270303050314,0.0788715300778173,0.148582421020617
"SEMA6B",-5.15449060689873,2.54321307568972e-07,1.76071069518625e-06
"HDHD3",-4.1104990527348,3.94804900269996e-05,0.000175493756983556
"OR7E91P",1.411889117319,0.0789913062897328,0.148787598721619
"SP140",-0.721836702575586,0.47039488119903,0.650667395629762
"VCF1",1.41183748635478,0.0789989089943115,0.148791688683339
"ZCCHC14",4.70815350785593,1.24985414295953e-06,7.60545407516132e-06
"NIBAN2",1.41121861010469,0.0790900822040251,0.148901986253815
"MASP1",-1.21664784065481,0.223738232259042,0.356936225992107
"TMEM69",-3.84351414360378,0.00012128500607389,0.0004844150373807
"HNRNPH3",2.91299351051429,0.0017899102036123,0.00543922241020066
"EHHADH",-2.05607355473631,0.0397754268433643,0.0824429006865375
"GIP",0.79660622214049,0.212839881314226,0.342401112725539
"CD1A",2.38630645807129,0.00850928132165985,0.0215365633598366
"RGS6",0.158905277409272,0.873743502758643,1
"ZNF680",-1.69413191778533,0.0902402184125299,0.166765433311607
"MAT1A",-1.63820136714762,0.101379694540566,0.18410982644606
"LOC105370504",1.40811281913359,0.0795488328709162,0.149623038961533
"EFL1",1.491790078178,0.13575418579124,0.235677181226301
"LOC101928718",1.4072415752013,0.0796778836482698,0.149833581997827
"FCRLA",-3.46289001532844,0.000534406791579789,0.00184569768725773
"EFNB1",0.637350275851524,0.261948354755442,0.405794796342758
"CPLANE1",4.35893593858257,6.53481804280265e-06,3.44205614848257e-05
"XAGE2",1.40483174423422,0.0800356585579803,0.150434090305034
"RNF40",7.75306076357662,4.44089209850063e-15,1.01466421216368e-13
"APPL1",0.780769590679159,0.434938022333679,0.612130856503013
"NAIF1",6.77462000889786,6.23667784083182e-12,9.47608371877912e-11
"SCD",1.60621309781728,0.0541135482467421,0.107657273363798
"PRELID3B",5.10134071306335,1.68627898311513e-07,1.20994271195492e-06
"MTMR4",4.03684678906997,5.41744225988072e-05,0.000233093812956545
"PCDHGB1",3.49504022704075,0.000473990310828842,0.00165561195526662
"FRMD3",-2.17524564745542,0.0296117131512652,0.0639606466749909
"MGAT4B",3.00957357339325,0.00261614707761249,0.00762439885012702
"SDC3",-2.85090430556441,0.00435950875339053,0.011963211689786
"THSD4",1.38986862743098,0.164568773802433,0.277096592398135
"BBOX1-AS1",1.40114740651361,0.0805849989139475,0.151321272551072
"PHF8",-1.82215400660751,0.0684316210552831,0.131713922490654
"SHROOM2",5.03382728608687,2.40391437533738e-07,1.67315127826137e-06
"PSMD12",4.066802418551,2.38313102698395e-05,0.00011109449907504
"GSEC",1.40036953248439,0.0807013443823499,0.151487825774597
"SLC16A14",-1.98761692930439,0.0468540725336681,0.0949857195773264
"C16orf54",1.39995017240515,0.0807641200534888,0.151574506327692
"CEP68",1.08433677781877,0.278215504242171,0.426251440337372
"MYOM3",1.3505703291918,0.176833110707534,0.294202785608702
"ATXN7L3",-0.154360526955126,0.877325475505949,1
"TMED9",-1.38283946016565,0.16671409658498,0.280089088430364
"NPPC",-3.42148855232883,0.000622793467615068,0.00211627723211545
"ZNF250",-4.4397412790405,9.00670877435061e-06,4.61366467601599e-05
"CARMIL1",5.97779345837541,1.13090126152571e-09,1.19525617513491e-08
"ZNRF2P2",1.39759640262799,0.0811171496213302,0.152122420172258
"CKLF",2.97839911216556,0.00289758403698981,0.00834693109288494
"112268301",1.39760063988538,0.0811165130527554,0.152122420172258
"ULK4P1",1.39735980912179,0.0811526993472202,0.152166732271642
"WNT7A",4.31409663294088,8.012842144689e-06,4.15505982498117e-05
"PARGP1",1.3968876160611,0.0812236845944776,0.152259671511271
"MED14",4.98589155121245,3.08383674263446e-07,2.09788198570825e-06
"NEFL",0.0317121187536209,0.974701630380497,1
"PCDHGA1",0.103478306818374,0.917583365709897,1
"FAM117B",1.53006072841956,0.0630008488945334,0.122570006069579
"CLIC1",-2.23637195865716,0.0253274163933077,0.0557842556757248
"PUS3",-2.70182138960559,0.00689607965126293,0.0179137210360656
"TEX10",-1.46536376066163,0.142821699123257,0.245905376625078
"KIAA1549L",2.00660747931637,0.0223957371546546,0.0500923595159832
"ZNF608",-0.0551254713975891,0.956038503753045,1
"ANKRD20A8P",2.31254497448899,0.0103738349309034,0.025552167589651
"CEACAM19",-4.80216490021172,1.5695934907356e-06,9.34964420063095e-06
"EDA",1.42139868823245,0.155200887621822,0.263624027554552
"NIT1",-1.878976946631,0.0602476410785171,0.117975991947532
"CCDC170",2.18688559960903,0.0143754382181471,0.034069999998801
"PMS2CL",1.3920119490467,0.0819593897994892,0.153397382220196
"RAB11FIP5",0.9014288452067,0.367360350390066,0.534968998455021
"105378967",1.39168271386842,0.0820092495611036,0.153469730973867
"KLHDC10",2.75923502393264,0.00289684255053368,0.00834567269658958
"BCL2L15",1.02572773779636,0.152509967994634,0.259729614149757
"LINC01107",1.39145089025883,0.0820443709096255,0.153524968652267
"HSPB6",1.13295686745471,0.257232366974867,0.399891084625835
"ANKRD54",-0.391346542632748,0.695541100453613,0.879986535211136
"EPSTI1",2.57753111458024,0.00995089223575674,0.0246455738901144
"PRDM12",-0.0362524764630531,0.971081043296118,1
"MTCH2",3.05662555794062,0.00111921854661556,0.00357687728470991
"VPS33A",0.862718435517189,0.388292293755814,0.558914848016
"GADL1",2.89401557410573,0.00190174648131014,0.00573707134186668
"STX17-DT",1.39075959302366,0.0821491699350259,0.153689579346448
"H3C8",1.390289239222,0.0822205320824395,0.153812583747503
"SERPINH1",-1.68102238667503,0.0927585663061383,0.170682490862215
"TULP3",2.81759056279649,0.00241927335884717,0.00710734516521376
"RFX8",4.33688859766837,7.22569108158044e-06,3.78123795950136e-05
"RAB4B-EGLN2",0.114411358874422,0.45445585502193,0.633382777150096
"KLKB1",0.513077710042797,0.607896962860137,0.792976869924614
